"","accession","isolate","collection.date.formatted","collection.date.decimal","iso.country.code","iso.country","iso.subdivision.code","iso.subdivision.name","genotype","host.class","host.order","host.genus","host.species","isolation.source","seq.length","full.length","seq.technology","title","pubmed.id_1","citation_1","region","moltype","pubmed.id_2","pubmed.id_3","pubmed.id_4","pubmed.id_5","pubmed.id_6","citation_2","citation_3","citation_4","citation_5","citation_6","notes","genbank.createdate","is.europe","segment","flags"
"463","MW164644","12pool2194",2012-08-09,2012.60382513661,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 12pool2194 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","TV","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"464","MW164643","12pool2046",2012-07-24,2012.56010928962,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 12pool2046 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VE","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"465","MW164642","12pool1948",2012-07-24,2012.56010928962,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 12pool1948 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VR","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"466","MW164641","12pool1898",2012-07-24,2012.56010928962,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 12pool1898 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","RO","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"467","MW164640","11pool2444",2011-09-21,2011.72054794521,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 11pool2444 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VR","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"468","MW164639","11pool2135",2011-08-30,2011.6602739726,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 11pool2135 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VR","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"469","MW164638","11pool2109",2011-08-24,2011.64383561644,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 11pool2109 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VI","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"470","MW164637","11pool1989",2011-08-23,2011.64109589041,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 11pool1989 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VE","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"471","MW164636","11pool1941",2011-08-16,2011.62191780822,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 11pool1941 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","RO","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"472","MW164635","11pool1805",2011-08-09,2011.60273972603,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 11pool1805 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","PD","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"473","MW164634","11pool1743",2011-08-09,2011.60273972603,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 11pool1743 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","PD","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"474","MT795154",NA,2016-01-01,2016,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,11065,"nflg","Illumina","Usutu virus strain BNI-507, complete genome",NA,"Unpublished",NA,"rna",NA,NA,NA,NA,NA,"Submitted (22-JUL-2020) Arbovirology, Bernhard Nocht Institute for Tropical Medicine, Bernhard-Nocht-Str. 74, Hamburg 20359, Germany",NA,NA,NA,NA,NA,2021-08-17,"European","nflg","collection.date_resolution,subdivision_missing"
"475","MT580899",NA,2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Strigiformes","Strix","nebulosa","liver/cerebrum pool",11066,"nflg","Illumina","Usutu virus strain HAN/SN/2018, complete genome",NA,"Submitted (05-JUN-2020) Research Center for Emerging Infections and Zoonoses (RIZ), University of Veterinary Medicine Hannover, Buenteweg 17, Hannover, Lower Saxony 30559, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-03,"European","nflg","collection.date_resolution,subdivision_missing"
"476","MW160861",NA,2018-08-22,2018.63835616438,"AT","Austria","9","Wien",NA,"Insecta","Diptera","Culex","pipiens","pool of 2 adult females",695,"partial","Sanger dideoxy sequencing","Usutu virus strain AT-280/18 NS5 protein gene, partial cds",34169666,"Transbound Emerg Dis (2021) In press","Vienna International Airport","rna",NA,NA,NA,NA,NA,"Submitted (22-OCT-2020) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Africa 3",2021-07-07,"European","NS5",""
"477","MW160860",NA,2018-08-22,2018.63835616438,"AT","Austria","9","Wien",NA,"Insecta","Diptera","Culex","pipiens","pool of 10 adult females",695,"partial","Sanger dideoxy sequencing","Usutu virus strain AT-270/18 NS5 protein gene, partial cds",34169666,"Transbound Emerg Dis (2021) In press","Vienna International Airport","rna",NA,NA,NA,NA,NA,"Submitted (22-OCT-2020) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Africa 3",2021-07-07,"European","NS5",""
"478","MW160859",NA,2018-08-16,2018.62191780822,"AT","Austria","9","Wien",NA,"Insecta","Diptera","Culex","pipiens","pool of 10 adult females",695,"partial","Sanger dideoxy sequencing","Usutu virus strain AT-202/18 NS5 protein gene, partial cds",34169666,"Transbound Emerg Dis (2021) In press","Vienna International Airport","rna",NA,NA,NA,NA,NA,"Submitted (22-OCT-2020) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Africa 3",2021-07-07,"European","NS5",""
"479","MW160858",NA,2018-08-16,2018.62191780822,"AT","Austria","9","Wien",NA,"Insecta","Diptera","Culex",NA,"pool of 10 adult males",695,"partial","Sanger dideoxy sequencing","Usutu virus strain AT-197/18 NS5 protein gene, partial cds",34169666,"Transbound Emerg Dis (2021) In press","Vienna International Airport","rna",NA,NA,NA,NA,NA,"Submitted (22-OCT-2020) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Africa 3",2021-07-07,"European","NS5",""
"480","MW160857",NA,2018-08-16,2018.62191780822,"AT","Austria","9","Wien",NA,"Insecta","Diptera","Culex","pipiens","pool of 10 adult females",695,"partial","Sanger dideoxy sequencing","Usutu virus strain AT-190/18 NS5 protein gene, partial cds",34169666,"Transbound Emerg Dis (2021) In press","Vienna International Airport","rna",NA,NA,NA,NA,NA,"Submitted (22-OCT-2020) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Africa 3",2021-07-07,"European","NS5",""
"481","MW160856",NA,2018-08-16,2018.62191780822,"AT","Austria","9","Wien",NA,"Insecta","Diptera","Culex","pipiens","pool of 10 adult females",695,"partial","Sanger dideoxy sequencing","Usutu virus strain AT-186/18 NS5 protein gene, partial cds",34169666,"Transbound Emerg Dis (2021) In press","Vienna International Airport","rna",NA,NA,NA,NA,NA,"Submitted (22-OCT-2020) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Africa 3",2021-07-07,"European","NS5",""
"482","MW160855",NA,2018-08-29,2018.65753424658,"AT","Austria","9","Wien",NA,"Insecta","Diptera","Culex","pipiens","pool of 10 adult females",654,"partial","Sanger dideoxy sequencing","Usutu virus strain AT-167/18 NS5 protein gene, partial cds",34169666,"Transbound Emerg Dis (2021) In press","Vienna International Airport","rna",NA,NA,NA,NA,NA,"Submitted (22-OCT-2020) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Africa 3",2021-07-07,"European","NS5",""
"483","MW160854",NA,2018-09-12,2018.69589041096,"AT","Austria","9","Wien",NA,"Insecta","Diptera","Culex","pipiens","pool of 10 adult females",695,"partial","Sanger dideoxy sequencing","Usutu virus strain AT-152/18 NS5 protein gene, partial cds",34169666,"Transbound Emerg Dis (2021) In press","Vienna International Airport","rna",NA,NA,NA,NA,NA,"Submitted (22-OCT-2020) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Africa 3",2021-07-07,"European","NS5",""
"484","MW160853",NA,2018-09-05,2018.67671232877,"AT","Austria","9","Wien",NA,"Insecta","Diptera","Culex","pipiens","pool of 10 adult females",695,"partial","Sanger dideoxy sequencing","Usutu virus strain AT-127/18 NS5 protein gene, partial cds",34169666,"Transbound Emerg Dis (2021) In press","Vienna International Airport","rna",NA,NA,NA,NA,NA,"Submitted (22-OCT-2020) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Africa 3",2021-07-07,"European","NS5",""
"485","MW160852",NA,2018-08-08,2018.6,"AT","Austria","9","Wien",NA,"Insecta","Diptera","Culex","pipiens","pool of 10 adult females",695,"partial","Sanger dideoxy sequencing","Usutu virus strain AT-107/18 NS5 protein gene, partial cds",34169666,"Transbound Emerg Dis (2021) In press","Vienna International Airport","rna",NA,NA,NA,NA,NA,"Submitted (22-OCT-2020) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Africa 3",2021-07-07,"European","NS5",""
"486","MW160851",NA,2018-08-08,2018.6,"AT","Austria","9","Wien",NA,"Insecta","Diptera","Culex","pipiens","pool of 10 adult females",695,"partial","Sanger dideoxy sequencing","Usutu virus strain AT-76/18 NS5 protein gene, partial cds",34169666,"Transbound Emerg Dis (2021) In press","Vienna International Airport","rna",NA,NA,NA,NA,NA,"Submitted (22-OCT-2020) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Africa 3",2021-07-07,"European","NS5",""
"487","MW160850",NA,2018-07-18,2018.54246575342,"AT","Austria","9","Wien",NA,"Insecta","Diptera","Culex","pipiens","pool of 10 adult females",690,"partial","Sanger dideoxy sequencing","Usutu virus strain AT-34/18 NS5 protein gene, partial cds",34169666,"Transbound Emerg Dis (2021) In press","Vienna International Airport","rna",NA,NA,NA,NA,NA,"Submitted (22-OCT-2020) Pathobiology, Institute of Virology, University of Veterinary Medicine Vienna, Veterinaerplatz 1, Vienna, Vienna 1210, Austria",NA,NA,NA,NA,"lineage Africa 3",2021-07-07,"European","NS5",""
"488","MW803140","UV780/Serbia/2019",2019-01-01,2019,"RS","Serbia","08","Macvanski okrug",NA,"Insecta","Diptera","Culex","pipiens",NA,1014,"partial","Sanger dideoxy sequencing","Usutu virus isolate UV780/Serbia/2019 polymerase NS5 gene, partial cds",NA,"Unpublished","Sabac","rna",NA,NA,NA,NA,NA,"Submitted (23-MAR-2021) Virology department, Institute of Microbiology and Immunology, No1 Dr Subotica street, Belgrade 11000, Serbia",NA,NA,NA,NA,NA,2021-06-12,"European","NS5","collection.date_resolution"
"489","MN813492","SARR1776",1959-01-01,1959,"ZA","South Africa",NA,NA,NA,"Insecta","Diptera","Culex","neavei",NA,10305,"nflg","Sanger dideoxy sequencing","Usutu virus isolate SARR1776 polyprotein gene, complete cds",33044987,"PLoS Negl Trop Dis 14 (10), e0008765 (2020)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (09-DEC-2019) Biomedical Sciences and Pathobiology, Virginia-Maryland College of Veterinary Medicine, Integrated Life Science Building 1981 Kraft Dr., Blacksburg, VA 24060, USA",NA,NA,NA,NA,NA,2020-06-08,"Non-European","nflg","collection.date_resolution,subdivision_missing"
"490","MN813491","UG09615",2012-01-01,2012,"UG","Uganda",NA,NA,NA,"Insecta","Diptera","Culex","univittatus",NA,10305,"nflg","Sanger dideoxy sequencing","Usutu virus isolate UG09615 polyprotein gene, complete cds",33044987,"PLoS Negl Trop Dis 14 (10), e0008765 (2020)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (09-DEC-2019) Biomedical Sciences and Pathobiology, Virginia-Maryland College of Veterinary Medicine, Integrated Life Science Building 1981 Kraft Dr., Blacksburg, VA 24060, USA",NA,NA,NA,NA,NA,2020-06-08,"Non-European","nflg","collection.date_resolution,subdivision_missing"
"491","MN813490","TMNetherlands",2016-01-01,2016,"NL","Netherlands",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,10305,"nflg","Sanger dideoxy sequencing","Usutu virus isolate TMNetherlands polyprotein gene, complete cds",33044987,"PLoS Negl Trop Dis 14 (10), e0008765 (2020)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (09-DEC-2019) Biomedical Sciences and Pathobiology, Virginia-Maryland College of Veterinary Medicine, Integrated Life Science Building 1981 Kraft Dr., Blacksburg, VA 24060, USA",NA,NA,NA,NA,NA,2020-06-08,"European","nflg","collection.date_resolution,subdivision_missing"
"492","MN813489","HU10279-09",2009-01-01,2009,"ES","Spain",NA,NA,NA,"Insecta","Diptera","Culex","perexiguus",NA,10305,"nflg","Sanger dideoxy sequencing","Usutu virus isolate HU10279-09 polyprotein gene, complete cds",33044987,"PLoS Negl Trop Dis 14 (10), e0008765 (2020)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (09-DEC-2019) Biomedical Sciences and Pathobiology, Virginia-Maryland College of Veterinary Medicine, Integrated Life Science Building 1981 Kraft Dr., Blacksburg, VA 24060, USA",NA,NA,NA,NA,NA,2020-06-08,"European","nflg","collection.date_resolution,subdivision_missing"
"493","MN813488","DakPM173701",2003-01-01,2003,"SN","Senegal",NA,NA,NA,"Insecta","Diptera","Culex","neavei",NA,10305,"nflg","Sanger dideoxy sequencing","Usutu virus isolate DakPM173701 polyprotein gene, complete cds",33044987,"PLoS Negl Trop Dis 14 (10), e0008765 (2020)",NA,"rna",NA,NA,NA,NA,NA,"Submitted (09-DEC-2019) Biomedical Sciences and Pathobiology, Virginia-Maryland College of Veterinary Medicine, Integrated Life Science Building 1981 Kraft Dr., Blacksburg, VA 24060, USA",NA,NA,NA,NA,NA,2020-06-08,"Non-European","nflg","collection.date_resolution,subdivision_missing"
"494","MT188658",NA,2016-01-01,2016,"NL","Netherlands",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,11064,"nflg","Illumina","Usutu virus strain USUV, complete genome",NA,"Submitted (12-MAR-2020) DBSP, Virginia Tech, 360 W Campus Dr., Blacksburg, VA 24061, USA",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-17,"European","nflg","collection.date_resolution,subdivision_missing"
"495","MK591827",NA,2018-08-01,2018.58082191781,"IT","Italy","34","Veneto",NA,"Mammalia","Primates","Homo","sapiens",NA,192,"partial","Sanger dideoxy sequencing","Usutu virus strain Italy/Veneto/2018/2 NS5 protein (NS5) gene, partial cds",NA,"Unpublished","Veneto region","rna",NA,NA,NA,NA,NA,"Submitted (04-MAR-2019) Department of Molecular Medicine, University of Padua, via Ugo Bassi 58b, Padua, PD 35131, Italy",NA,NA,NA,NA,"lineage Europe 2",2021-01-15,"European","NS5",""
"496","MK591826",NA,2018-08-01,2018.58082191781,"IT","Italy","34","Veneto",NA,"Mammalia","Primates","Homo","sapiens",NA,325,"partial","Sanger dideoxy sequencing","Usutu virus strain Italy/Veneto/2018/1 NS5 protein (NS5) gene, partial cds",NA,"Unpublished","Veneto region","rna",NA,NA,NA,NA,NA,"Submitted (04-MAR-2019) Department of Molecular Medicine, University of Padua, via Ugo Bassi 58b, Padua, PD 35131, Italy",NA,NA,NA,NA,"lineage Europe 2",2021-01-15,"European","NS5",""
"497","MK591825",NA,2018-08-01,2018.58082191781,"IT","Italy","34","Veneto",NA,"Mammalia","Primates","Homo","sapiens",NA,296,"partial","Sanger dideoxy sequencing","Usutu virus strain Italy/Veneto/2018/2 NS3 protein (NS3) gene, partial cds",NA,"Unpublished","Veneto region","rna",NA,NA,NA,NA,NA,"Submitted (04-MAR-2019) Department of Molecular Medicine, University of Padua, via Ugo Bassi 58b, Padua, PD 35131, Italy",NA,NA,NA,NA,"lineage Europe 2",2021-01-15,"European",NA,""
"498","MK591824",NA,2018-08-01,2018.58082191781,"IT","Italy","34","Veneto",NA,"Mammalia","Primates","Homo","sapiens",NA,268,"partial","Sanger dideoxy sequencing","Usutu virus strain Italy/Veneto/2018/1 NS3 protein (NS3) gene, partial cds",NA,"Unpublished","Veneto region","rna",NA,NA,NA,NA,NA,"Submitted (04-MAR-2019) Department of Molecular Medicine, University of Padua, via Ugo Bassi 58b, Padua, PD 35131, Italy",NA,NA,NA,NA,"lineage Europe 2",2021-01-15,"European",NA,""
"499","MK591823",NA,2018-08-01,2018.58082191781,"IT","Italy","34","Veneto",NA,"Mammalia","Primates","Homo","sapiens",NA,1282,"partial","Sanger dideoxy sequencing","Usutu virus strain Italy/Veneto/2018/2 envelope protein (E) gene, partial cds",NA,"Unpublished","Veneto region","rna",NA,NA,NA,NA,NA,"Submitted (04-MAR-2019) Department of Molecular Medicine, University of Padua, via Ugo Bassi 58b, Padua, PD 35131, Italy",NA,NA,NA,NA,"lineage Europe 2",2021-01-15,"European","envelope",""
"500","MK591822",NA,2018-08-01,2018.58082191781,"IT","Italy","34","Veneto",NA,"Mammalia","Primates","Homo","sapiens",NA,1284,"partial","Sanger dideoxy sequencing","Usutu virus strain Italy/Veneto/2018/1 envelope protein (E) gene, partial cds",NA,"Unpublished","Veneto region","rna",NA,NA,NA,NA,NA,"Submitted (04-MAR-2019) Department of Molecular Medicine, University of Padua, via Ugo Bassi 58b, Padua, PD 35131, Italy",NA,NA,NA,NA,"lineage Europe 2",2021-01-15,"European","envelope",""
